1 "NONE" 0.052000
2 "NONE" 0.702000
4 "NONE" 0.054000
5 "MPK3" 0.106000
6 "EPT2" 0.173000
8 "PT2" 0.177000
10 PT3 0.333000
12 "NONE" 0.657000
13 "MPK3" 1.557000
